5960;4553;6123;4640;6132;6185;6097;4959;6166;6120
6142;4899;6187;6529;6279;6372;6175;5593;6310;6321
6368;5269;6433;6540;6459;6584;6431;6335;6541;6445
6705;5321;6759;6923;6764;6914;6755;6398;6840;6844
6925;5968;6999;6952;7056;7111;6985;6589;7021;7035
6935;6854;7065;6996;7110;7205;7007;6853;7159;7134
7003;7038;7103;7007;7123;7236;7114;7469;7174;7159
7237;7103;7352;7020;7438;7575;7328;7505;7426;7473
7310;7179;7439;7035;7445;7577;7330;7737;7502;7510
7448;7497;7500;7264;7589;7724;7531;7739;7611;7626
7465;8140;7585;7588;7595;7774;7590;7769;7631;7637
7563;8745;7639;7933;7611;7822;7656;7889;7694;7751
7861;9197;8026;8081;8022;8178;8007;7933;8043;8078
7907;10124;8040;9477;8022;8219;8018;8384;8079;8079
8064;10276;8196;9625;8186;8381;8172;8532;8232;8239
